區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
新市區,潭頂社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"康忠雄理事長,電話: (06)5892755",社區關懷照顧據點,2013/3/4
新營區,大宏里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡崇名理事長,電話: (06)6373770",社區關懷照顧據點,2013/3/4
新營區,太子社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王獻章理事長,電話: (06)6531422",社區關懷照顧據點,2013/3/4
新營區,太南社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李裕銘里長,電話: (06)6523903",社區關懷照顧據點,2013/3/4
新營區,王公社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林健三理事長,電話: (06)6331464",社區關懷照顧據點,2013/3/4
新營區,民生社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,蘇明占理事長,社區關懷照顧據點,2013/3/4
新營區,民榮社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,黃新義理事長,社區關懷照顧據點,2013/3/4
新營區,民權社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"周建良理事長,電話: (06)6352232",社區關懷照顧據點,2013/3/4
新營區,角帶社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"邱文清理事長,電話: (06)6526759",社區關懷照顧據點,2013/3/4
新營區,忠政社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"黃衍智里長,電話: (06)6377100",社區關懷照顧據點,2013/3/4
新營區,南紙社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"郭崑德理事長,電話: (06)6571048",社區關懷照顧據點,2013/3/4
新營區,新東社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,盧素香理事長,社區關懷照顧據點,2013/3/4
新營區,嘉芳社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"范進財理事長,電話: (06)6531551",社區關懷照顧據點,2013/3/4
新營區,舊廍里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李霸王里長,電話: (06)6581905",107年起里鄰調整,2013/3/4
新營區,護鎮社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"洪銀發理事長,電話: (06)6362932",社區關懷照顧據點,2013/3/4
楠西區,密枝社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳金省里長,電話: (06)5750307、潘秀恩,電話: 0952-220239",社區關懷照顧據點,2013/3/4
楠西區,鹿田社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"胡文杰里長,電話:0934- 301139",社區關懷照顧據點,2013/3/4
楠西區,龜丹社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林茂松里長,電話: (06)5744988",社區關懷照顧據點,2013/3/4
學甲區,三慶里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"莊銀葉副主任,電話: (06)7810038、0919-715896",社區關懷照顧據點,2013/3/4
學甲區,大灣社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王豐禾理事長,電話: (06)7831130、0932-830524",社區關懷照顧據點,2013/3/4
學甲區,戶政事務所,電洽,服務臺引導民眾及協助文書整理,"邱豐毅,電話:(06)7833844",服務時間及員額視實際需求而定,2013/3/4
學甲區,平西社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"周文勝總幹事,電話: (06)7824975、0933-365925",社區關懷照顧據點,2013/3/4
學甲區,光華里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"邱益在里長,電話: (06)7832305、0910-881281",社區關懷照顧據點,2013/3/4
學甲區,第五社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"謝新枝主任,電話:0933- 697041",社區關懷照顧據點,2013/3/4
學甲區,頂洲社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"張翠柳理事長,電話: (06)7810761、郭文川主任,電 話:0917-612293",社區關懷照顧據點,2013/3/4
學甲區,新芳社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"高春成理事長,電話: (06)7810372、王名勝總幹事, 電話:0928-701601",社區關懷照顧據點,2013/3/4
學甲區,新榮社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王東盛主任,電話: (06)7831971、0932-818436",社區關懷照顧據點,2013/3/4
龍崎區,龍和社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"朱坤風理事長,電話: (06)5940469",社區關懷照顧據點,2013/3/4
龍崎區,龍興社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳正印理事長,電話: (06)5947194",社區關懷照顧據點,2013/3/4
歸仁區,大廟里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳黃素卿里長,電話: (06)2051475",社區關懷照顧據點,2013/3/4
歸仁區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"王小姐,電話: (06)2302756#206",視實際需求而定,2013/3/4
歸仁區,文化里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"劉三吉里長,電話: (06)3301285",社區關懷照顧據點,2013/3/4
歸仁區,西埔社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李英哲理事長,電話: (06)2052356",社區關懷照顧據點,2013/3/4
歸仁區,武東里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"鄭炳耀里長,電話: (06)2781464",社區關懷照顧據點,2013/3/4
歸仁區,歸仁社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"許繁清,電話:(06)2304228",社區關懷照顧據點,2013/3/4
關廟區,五甲里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡明松里長,電話: (06)5950801",社區關懷照顧據點,2013/3/4
關廟區,北勢社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"郭水道理事長,電話: (06)5952431",社區關懷照顧據點,2013/3/4
關廟區,東勢社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"江輝三理事長,電話: (06)5959709",社區關懷照顧據點,2013/3/4
關廟區,香洋里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"盧添登里長,電話: (06)5957986",社區關懷照顧據點,2013/3/4
關廟區,埤頭里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"許文進里長,電話: (06)5950743",社區關懷照顧據點,2013/3/4
關廟區,深坑里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"吳明哲里長,電話: (06)5953143",社區關懷照顧據點,2013/3/4
關廟區,新光社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"吳忠清理事長,電話: (06)5961467",社區關懷照顧據點,2013/3/4
鹽水區,下中社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"洪英傑主任,電話: (06)6526940",社區關懷照顧據點,2013/3/4
鹽水區,大莊社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"趙世國理事長,電話: (06)6551571",社區關懷照顧據點,2013/3/4
鹽水區,中境社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"顏菀逸理事長,電話: (06)6526854李兆林主任",社區關懷照顧據點,2013/3/4
鹽水區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"張綉苓,電話:(06)6521404#19",視實際需求而定,2013/3/4
鹽水區,坔頭港社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳森山理事長,電話: (06)6894256趙淑惠隊長",社區關懷照顧據點,2013/3/4
鹽水區,桐寮社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳顏銀嫌理事長,電話: (06)6551816",社區關懷照顧據點,2013/3/4
鹽水區,橋南社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"鄭惠澤理事長,電話: (06)6529698",社區關懷照顧據點,2013/3/4
鹽水區,歡雅社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"趙明來理事長,電話: (06)6550638",社區關懷照顧據點,2013/3/4
北區,力行社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:鄭崑福理事長 電話:06-2754628,社區關懷照顧據點,2013/3/4
北區,三德社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:王黃春子理事長 電話:06-2271508,社區關懷照顧據點,2013/3/4
北區,大仁社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:閻文正理事長 電話:06-2823855,社區關懷照顧據點,2013/3/4
北區,大港社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:陳虹樺理事長 電話:06-2595848,社區關懷照顧據點,2013/3/4
北區,大道社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:劉冠志理事長 電話:06-2511512,社區關懷照顧據點,2013/3/4
北區,小康社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:許至柔理事長 電話:06-2520996,社區關懷照顧據點,2013/3/4
北區,中樓社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:劉慶雲理事長 電話:06-2376813,社區關懷照顧據點,2013/3/4
北區,公園社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:徐獻謙理事長 電話:0910-819-696,社區關懷照顧據點,2013/3/4
北區,六甲社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:陳必彰理事長 電話:06-2818137,社區關懷照顧據點,2013/3/4
北區,正覺社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:吳銅吉理事長 電話:06-2816664,社區關懷照顧據點,2013/3/4
北區,永祥社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:謝坤娥理事長 電話:06-2832280,社區關懷照顧據點,2013/3/4
北區,安民社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:陳春綢理事長 電話:06-2288999,社區關懷照顧據點,2013/3/4
北區,成功社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:邱湘妮理事長 電話:06-2525126,社區關懷照顧據點,2013/3/4
北區,和順社區發展協會 (功能性據點),電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:吳鳳月理事長 電話:06-2278868,社區關懷照顧據點,2013/3/4
北區,延平社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:吳坤福理事長 電話:06-2515560,社區關懷照顧據點,2013/3/4
北區,東興社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:高新蓮理事長 電話:06-2346426,社區關懷照顧據點,2013/3/4
北區,長榮社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:劉麗華理事長 電話:06-2901508,社區關懷照顧據點,2013/3/4
北區,重興社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:鄭瑞豐理事長 電話:06-2355119,社區關懷照顧據點,2013/3/4
北區,華興社區發展協會,電洽,1.關懷訪視 2.電話問安 3.協助文書整理 4.活動規劃,聯絡人:謝昌成理事長 電話:06-2384141,社區關懷照顧據點,2013/3/4
七股區,七股區圖書館,電洽,"協助館員處理圖書館業務, 例如借還書、圖書上架整理 、整理環境等","王小姐,電話:7872611#224",,2013/7/10
下營區,下營區圖書館,"上午9-12時,下午14-17時",圖書整理、讀者諮詢、流通櫃檯、 協助閱讀推廣活動、環境清潔...等,"張小姐,電話: (06)6892104#231",僅有寒暑假招募學生志工,2013/7/10
山上區,圖書館,09:00-12:00/3名,暑期 配合活動/館內書庫整架、上 架書,"張乃專,電話:(06)5782506",,2013/7/10
中西區,市立圖書館中西區分館,9:00-12:00/4名14:00- 17:00/5名,圖書整理,"黃淑芬,電話:2255146#703","112/7/4更新:服務學習時間, 星期六9:00-12:00,13:00- 16:00,17:30-20:30,每時段2 人;星期日9:00-12:00,13:00- 16:00,每時段2人,服務項目: 圖書維護、書架整理、預約書調 閱等圖書館庶務。",2013/7/10
六甲區,六甲區圖書館,"上午8時30分至11時30分,下午2時 至5時。 (一人一天最多4小時)",1.圖書整理及排架 2.環境清潔維護,"李英對,電話:(06)6988003",平常(六.日)及寒暑假,2013/7/10
北區,市立圖書館兒童閱覽室,09:00-12:00/5名、 14:00-17:00/5名,閱覽圖書上架.整架.分類及其他交 辦事項,"黃小姐,電話: (06)2255146#220、221",即日起無提供服務學習,2013/7/10
左鎮區,左鎮區圖書館,視報名人數而定,協助圖書館各項工作,"王小姐,電話:5731611#208, 5731774","依本區志工招募辦法,僅招收設 籍本區學生志工",2013/7/10
永康區,永康區圖書館,"7月2日至8月25日,各梯次週二~週 日排定服務時間,按時服勤。(每 3.5小時為1次,分上午8:30 ~12:00及下13:30~17:00兩個時 段。)每梯次25人,預計招收8梯次 ,共200人。※每人限報1梯次。",1.社教中心周圍環境維護。 2.協助圖書加工、修補、汰舊及上 架、整架。 3.協助圖書、期刊、報章雜誌流通 管理。 4.指導讀者使用資訊檢索系統。 5.協助各館室秩序維護。 6.館方交辦其他事項。,"柯小姐,電話:2029666#213 王小姐,電話:2029666#117","112/7/4更新:因館區工程,暫",受2理01國3/中7/服10
七股區,衛生所,04.14/10名;05.25/6名,衛生保健業務[行動醫院],"劉慧如,電話:(06)7872277",,2013/7/10
下營區,衛生所,星期1~5/10名,預防保健相關業務,"顏美娜護理長,電話: (06)6892149",,2013/7/10
大內區,衛生所,星期2上午/1名,協助填寫嬰幼兒預防注射單張,"許玉瓊護理長,電話: (06)5761044",,2013/7/10
山上區,衛生所,週一至週五8:00-17:30及假日辦 理活動時間,資料登錄及協助活動辦理,"護理長蔡佩玲,電話: (06)5781013",,2013/7/10
中西區,衛生所,假日(時間不定)/1名,檔案整理,"歐香琴,電話:(06)2252403",需要幫忙時會連絡,2013/7/10
中西區,衛生所,星期3上午及星期4下午/ 1名,門診及兒童預防保健業務,"李家萍,電話:(06)2252403",暑假期間需求以無實習學生時為 主,2013/7/10
仁德區,衛生所,9:00-12:00;14:00-17:00,輸電腦文書資料及整理文件資料,"童麗霞,電話:(06)2704153、 2701854; rdegli@ksmail.doh.gov.tw",,2013/7/10
六甲區,衛生所,星期1~5/4名 假日(行動醫院):4.13、5.4/6名,文書事務處理、環境整理、行動醫 院(協助搬運物品及擔任保健志工),"黃于玲護理長,電話: (06)6982013",,2013/7/10
北門區,衛生所,星期1~5/20名,協助公共衛生業務,"李慧琳,電話:(06)7862043",如為行動醫院服務時程0600- 1100,2013/7/10
左鎮區,衛生所,假日/10名,協助行動醫院全民健檢工作,"護理師兼護理長蔡秀珍,電話: (06)5731114",,2013/7/10
永康區,衛生所,星期1~5/20名,預防保健服務.資料整理電腦資料 繕打,"張碧容,電話:(06)2326507",,2013/7/10
玉井區,衛生所,星期六/1名;星期1~5/1名,協助門診民眾引導、量身高、體檢 等相關工作,"護理長江金靜,電話: (06)5742275",限寒暑假,2013/7/10
玉井區,衛生所,每年3-5月(2-3場)行動醫 院/5-10名,協助活動關卡引導,"護理長江金靜,電話: (06)5742276",,2013/7/10
白河區,衛生所,W6:早上6:30-12:00,行動醫院、協助乳房攝影及抹片設 站寫單子、協助寫流感名冊,"蕭小梅護理長,電話: (06)6852024、6832126",,2013/7/10
下營區,戶政事務所,電洽,引導民眾辦理戶籍登記及代填書表,"沈先生,電話:(06)689248#207",,2013/7/10
大內區,戶政事務所,"星期三8:30~11:30,1人",服務台引導民眾及協民眾辦理案件,陳盈婷電話:(06)5761259,,2013/7/10
中西區,戶政事務所,寒、暑假各2名,引導民眾及協助填寫表單,"陳玫伶,電話:(06)2232609",,2013/7/10
仁德區,戶政事務所,"暑假期間星期一至星期五,共25名",一、協助引導民眾與服務。 二、協助環境整理。三、協助一般 事務處理。,"張雅俐,電話:2704430",,2013/7/10
北區,戶政事務所,"寒假期間:8名,暑假期間:16名",服務臺引導、協助戶政檔案,"吳秀芳,電話:2219303",,2013/7/10
玉井區,戶政事務所,"預計服務時間:第一期:7/15(一) -7/19 (五),共計五天。第二 期:7/22 (一)-7/26 (五),共計五天。第 三期:7/29(一)-8/2 (五),共計 五天。第四期:8/5(一)-8/9 (五),共計五天。第五期: 8/12(一)-8/16 (五),共計五 天。預計員額:預計招募10人。",服務引導民眾、協助清理環境工 作、簡易文書整理工作、其他等事 項。,電話:(06)5742474,,2013/7/10
白河區,戶政事務所,上午8時至12時壹名。 下午13時30分至17時30分貳名,"引導民眾辦理戶籍登記,供應荼 水、整理環境等","李宗達,電話:6852314",,2013/7/10
中西區,台南YMCA社福基金會附設私立臨安老 人養護中心,面洽,老人照顧服務、活動協助,"葉幹事,電話: (06)3583000#2102","名額有限不適合全班性團體 ※建議由學校提出申請,以團體 方式進行 114.1.23確認即日起暫不提供",2013/7/10
中西區,財團法人臺灣省臺南市保安宮,"電洽 (服務時間以學生空閒時間為主即 可,可向本宮南廠王宮文化志工隊 申請排班以及查詢服務時間。本宮 志工員額不限)","1.慈善關懷訪視(關懷社區老人、 救濟物資發送、參與本宮所舉辦之 各類慈善公益事務) 2.觀光導覽解說(須接受本宮培 訓) 3.地方文史資料整理(協助本宮彙 整文史資料) 4.宮廟活動支援(支援本宮舉辦之 各項活動,包括活動期間之秩序維 持、茶水招待、攝影協助、臨時事 項交辦等)","邱千琴小姐,電話: (06)2264630、(06)2286967",如對服務時間及服務內容有疑問 可電洽或逕向本宮服務台詢問,2013/7/10
仁德區,行政院衛生署胸腔病院,電洽,社區服務、活動支援、服務台 諮詢,"社服室,(06)2705911#3165","※建議由學校提出申請,以團體 方式進行",2013/7/10
仁德區,長祐老人長期照顧中心 (養護型),"假日及平日上午8:30-11:00,下午 14:00-17:00,員額:不拘限",1.關懷長輩 2.帶領或協助適合長輩之團康活動,"葉主任,電話 :(06)2666425","※建議由學校提出申請,以團體 方式進行",2013/7/10
六甲區,區公所民政課,"07:00-08:00,每月 第二週六,20人",區里環境服務-環境清潔日掃街活 動,"陳麗香,電話:(06)6982284、 (06)6987046",,2013/7/10
六甲區,區公所社會課,上午9時至11時;下午2時至4時,社區關懷據點文書處理、發放慈善 團體捐贈物資,"黃麗玉,電話:(06)6989438",,2013/7/10
六甲區,區公所秘書室,"上午8時30分至11時30分,下午1時 30至4時30分(週一至週五)",行政庶務志工,"李佳珍,電話:(06)6989453",,2013/7/10
北區,社團法人台南市腦性麻痺之友協會,"星期一~星期五9:0017:00,10人左 右",小型作業所學員協助及照護、其他 交辦事項,"李晏妥社工,電話: (06)2091162",114.1.23確認即日起暫不提供,2013/7/10
左鎮區,中華佛教慈蓮功德會,電洽,"環境清潔協助,掃地、澆水、拔草","戴綵緹,電話:(06)5730423",,2013/7/10
左鎮區,區公所民政課,面洽,區圖書館圖書整理,"許小姐,電話:5731611#208、 5731774",,2013/7/10
永康區,北台南家扶中心永康服務處,電洽,圖書、發票、義賣品整理 文書行政、花草園藝維護,"林玉珠,電話:(06)2022085",112/11/29即日起停止服務學習 業務,2013/7/10
永康區,永康區公所(社教中心),"7-8月份時段,每時段25人,共計 200人",1.社教中心周圍環境維護。 2.圖書館業務。 3.館方交辦其他事項。,(06)2026999#117、213,,2013/7/10
永康區,永康區公所社會課,"7-8月份,約50人",資料繕打及整理。,(06)2010308#192,,2013/7/10
永康區,社團法人台南市新世代社會福利關懷 協會,每週一到週六 08:30~18:00 單天最多五名,1.協助活動場地布置 2.協助資料歸檔與整理 3.協助活動秩序維持 4.陪伴參與活動之學童,"陳欣如,電話:待來文更新",需依單位之需求安排,2013/7/10
永康區,區公所公務課,5人,資料整理,(06)2010308#140,,2013/7/10
永康區,區公所民政課,100人,打理各里活動中心及資料整理,(06)2010308#170,,2013/7/10
永康區,區公所經建課,10人,資料整理,(06)2010308#120,,2013/7/10
全區,中華民國得勝者教育協會,"寒、暑假期間,員額視需 要",1.協助文書資料及教材整理。 2.營會、活動小志工,"黃珮華,電話:(06)2146911",,2013/7/10
全區,五柳枝生活文化協會,電洽,協助推廣課程之資料整理、 佈置會場、活動接待、用具 及材料配發等、環境整理( 掃地、拖地、倒垃圾),"范小姐,電話:待來文更新",詳細區域請電洽,2013/7/10
全區,社團法人中華民國道德重整協會,如有意願者請洽辦公室,1. 辦公室行政事務協助 2. 油漆美化環境 3. 社會福利機構交流服務,"蘇社工,電話:(06)2820320",,2013/7/10
安平區,戶政事務所,"102.7-102.8月,40人",引導諮詢民眾,"林逸弘電話:(06)2953155, FAX:2953351",,2013/7/10
安平區,台南YMCA社福基金會建平老人日間照 顧中心,面洽,老人照顧服務、活動協助,"葉幹事,電話: (06)3583000#2102","名額有限不適合全班性團體 ※建議由學校提出申請,以團體 方式進行",2013/7/10
安平區,新天新地文化藝術基金會,電洽,社區環境整潔、社團服務、原鄉關 懷、協助各項音樂會及晚會活動服 務,"王先生,電話:待來文更新",視實際需求而定,2013/7/10
安平區,衛生所,星期1~5上午/6名 星期1~5下午/6名,1.文書處理 2.協助健檢填單 3.協助臨時交辦事項,"楊顏禎,電話: (06)2996885#202",,2013/7/10
安平區,環境保護局,"102年4月13日上午8時至10時,不 限名額;預計102年9月辦理,不限 名額",清理沙灘,"環衛科史小姐,電話: (06)2086630#423",每次核發2小時,2013/7/10
安定區,安定區圖書館,"寒暑假期間員額:由本 所另行公告辦法,限額 招募",圖書整理及上架、圖書預約 查詢、書架清潔、讀者諮詢 、圖書館導覽等圖書館業務,電話:5920493,國中志工(限寒暑),2013/7/10
安南區,戶政事務所,"102年暑假期間週一~五,上午 0800~1200,下午1330~1730,下午 各1名,每週2名,8週共16名。",服務台引導、環境整理...等。,"曾春樹,電話:2471161",,2013/7/10
安南區,市立圖書館土城分館,,整書.讀架,"翁小姐,電話:2255146#620",,2013/7/10
安南區,理想社區發展協會,星期一至星期六19-21時,圖書室管理及借書登記,"負責人:詹小姐,電話: 0928371583",人數與負責人聯絡,2013/7/10
安南區,理想社區發展協會,"社區辦活動不定時,若干人","協助辦理活動,場地佈置及整理","理事長:林忠勇,電話: 2555554、0933351469","可登記,需要時聯絡",2013/7/10
安南區,衛生所,星期1~5/3名,服協助務台各項活動、健檢協助,"杜慧津,電話: (06)2567406#212",,2013/7/10
西港區,戶政事務所,"週一、週三、週四下午1時30分至5 時30分,員額:各1人",引導民眾抽取號碼牌、書報 及宣導品整理、環境整理,"鄧楷澤,電話:7952414",限寒假、暑假期間,2013/7/10
西港區,西港區圖書館,"每週二至週日,開館時間",圖書整理、整架、館舍清潔維護、 圖書流通、圖書館管理...等,"康明然,電話:(06)795184#200",,2013/7/10
西港區,衛生所,5月26日上午6:30~11:30 /10名;6月2日上午7:00 ~11:00/5名,協助「行動醫院 全民健檢」引導 工作/量血壓,"呂惠珠護理師,電話: (06)7952338",,2013/7/10
佳里區,戶政事務所,寒假、暑假:早上0800-1200及下 午1330-1730;每天上午、下午各3 人次,1.協助引導民眾申辦案件。 2.簡易廳舍清潔及文書整理。,"方堃壘,電話:(06)7224172",,2013/7/10
佳里區,北台南家扶中心佳里服務處,電洽,圖書、發票、義賣品整理 文書行政、花草園藝維護,"陳姿君,電話:(06)7223440",112/11/29即日起停止服務學習 業務,2013/7/10
佳里區,區公所民政課,電洽,協助本區各里環境綠美化工作及配 合作政策宣導,"張先生,電話:7222127#275",,2013/7/10
佳里區,衛生所,星期2~4/2名,資料整理及輸入,"鍾宜珍,電話:(06)7224106#25",,2013/7/10
官田區,戶政事務所,"13:30-16:30,2人 (週一及週五各1人)",1.扶助老弱者就坐 2.引導民眾抽取號碼牌 3.指導民眾填辦資料,"陳昭言,電話:5791740",,2013/7/10
官田區,官田區圖書館,08:00~17:00/不限,協助圖書加工、修補、淘汰 及上架、整架,"周穎萱,電話:(06)5791002、 (06)5793408",,2013/7/10
官田區,衛生所,每月第四週星期3/12:00 -17:00,1.登革熱病媒蚊調查 2.菸害防制宣導,"邱艷玉,電話:(06)5791493",,2013/7/10
東山區,戶政事務所,"0800至1200;1330至1730,員額5 名",協助引導服務及環境清潔,"楊連政,電話:(06)6801154",,2013/7/10
東山區,東山區圖書館,周六~周日上午0900~12:00/3名、 下午1400~15:00/3名,圖書上架、整架、圖書分類、期刊 整理、活動協助、館務清潔,"蘇明娟,電話:6802100#118","本館學生志工需服務滿80小時, 並經本館考核,考核分數未達90 分者,不發予服務證明。",2013/7/10
東區,戶政事務所,暑假16人、寒假8人,1.協助環境清潔 2.引導民眾,"陳譓嬨,電話:3351559#58",,2013/7/10
東區,文化局/永華文化中心管理科(臺南文 化中心),寒、暑假各招募一次 週三至週日09:00-17:00 (每期預計招收40人),1.協助活動推廣。 2.受理申辦借閱證。 3.現場秩序管理。 4.整理及清理圖書資料。 5.觀眾服務。,聯絡人:劉玉貞 電話:06-2692864*213,臺南市政府文化局105年12月22 日南市文永字第1051317713號來 函修正,2013/7/10
東區,台南YMCA社福基金會東門老人日間照 顧中心,面洽,老人照顧服務、活動協助,"葉幹事,電話: (06)3583000#2102","名額有限不適合全班性團體 ※建議由學校提出申請,以團體 方式進行",2013/7/10
東區,台南市幼獅合唱團,每週2小時 國高中學生8人,合唱及樂器演奏淨灘或老弱 關懷活動,北區立人國小轉團長:潘昭男老 師,,2013/7/10
東區,臺南市醫事放射師公會,電洽,"1.協助繼續教育研討會會場活動。 2.各類活動行政支援。 3.文書電腦繕打、資料建檔及整理 ,隨機業務之協助。","志工管理呂先生,電話: 0933469553",視實際需求而定 114年2月確認即日起暫不提 供,2013/7/10
東區,衛生局-心理與精神科,星期1~5(寒暑假)/依業務需求酌酙,協助文書資料處理及整理,"(林森辦公室):陳渼心,電話: (06)2679751#169",,2013/7/10
東區,衛生局-心理與精神科-毒品危害防制 中心,星期1~5(寒暑假)/依業務需求酌酙,文書電腦繕打、公文遞送、協助表 格之彙整及資料整理、隨機業務之 協助,"(林森辦公室):洪敏華,電話: (06)2679751#180",,2013/7/10
東區,衛生局-疾病管制科,星期1~5(寒暑假)/依業務需求酌酙,協助文書資料處理及整理,"(林森辦公室):童儀莉,電話: (06)2679751#358",,2013/7/10
東區,衛生局-國民健康科,星期1~5(寒暑假)/依業務需求酌酙,菸害及預防保健資料建檔或整理,"(林森辦公室):蔡麗玫,電話: (06)2679751#263",,2013/7/10
東區,衛生局-會計室,星期1~5(寒暑假)/依業務需求酌酙,"傳送公文,協助整理憑證","(林森辦公室):林美君,電話: (06)2679751#204",,2013/7/10
東區,衛生局-綜合企劃科,星期1~5(寒暑假)/依業務需求酌酙,文書資料的整理及繕打,"(林森辦公室):張華倖,電話: (06)2679751#393",,2013/7/10
東區,衛生局-醫事科,星期1~5(寒暑假)/依業務需求酌酙,文書資料的整理及繕打,"(林森辦公室):吳宜蓁,電話: (06)2679751#114",,2013/7/10
南化區,南化區公所,"10人,星期一~星期五;上午 08:00至下午17:00",1.環境打掃與整理 2.民眾接待與服務 3.文書資料繕製與整理,"姜懿婷,電話: (06)5771513#103",,2013/7/10
南化區,南化區圖書館,1.人員:20人 2.時間:(1)星期一~星期五:上午 08:00至下午17:00(2)星期六、 日:上午08:00至下午16:00,環境打掃與整埋、圖書整理上架與 下架,"沈惠珍,電話:(06)5771247",,2013/7/10
南化區,衛生所,"假日早上06:30-11:30AM 13:00-16:30PM10(20名) 星期一至星期五08:00-11:30AM, 13:00-16:30PM",1.每年兩場行動醫院全民健檢(健 康檢查) 。 2.關卡引導、貼標籤、資料謄寫 等。 3.電話接聽、量血壓等。 4.行動醫院隔週有五天17:00- 18:30PM謄寫資料。,"護士蘇燕玲,電話: (06)5771139、0928065930",,2013/7/10
